1.261538461538461497e+00 1.657531119871599734e-02 1.499999999999999869e-04
1.326232741617356936e+00 1.666587208694206290e-02 1.499999999999999869e-04
1.394244677084913731e+00 1.719308705827087350e-02 1.499999999999999869e-04
1.465744404114909250e+00 1.738083118023831322e-02 1.499999999999999869e-04
1.540910783813109752e+00 1.715748442685183575e-02 1.499999999999999869e-04
1.619931849649679512e+00 1.646457080957473493e-02 1.499999999999999869e-04
1.703005277836842524e+00 1.670346781053780316e-02 1.499999999999999869e-04
1.790338881828475337e+00 1.693595376881965736e-02 1.499999999999999869e-04
1.882151132178653485e+00 1.710193211054511150e-02 1.499999999999999869e-04
1.978671703059609932e+00 1.715002651953309587e-02 1.499999999999999869e-04
2.080142046806256584e+00 1.697533440457433054e-02 1.499999999999999869e-04
2.186815997924526300e+00 1.691310962592654232e-02 1.499999999999999869e-04
2.298960408074502304e+00 1.675472778418316683e-02 1.499999999999999869e-04
2.416855813616784587e+00 1.699110687643294940e-02 1.499999999999999869e-04
2.540797137392004856e+00 1.743508942923851016e-02 1.499999999999999869e-04
2.671094426489030838e+00 1.744305627073594600e-02 1.499999999999999869e-04
2.808073627847442744e+00 1.773924772312038961e-02 1.499999999999999869e-04
2.952077403634491226e+00 1.750273926798793026e-02 1.499999999999999869e-04
3.103465988436260314e+00 1.747851319468272588e-02 1.499999999999999869e-04
3.262618090407350735e+00 1.713312944041730720e-02 1.499999999999999869e-04
3.429931838633368812e+00 1.671209912542254150e-02 1.499999999999999869e-04
3.605825779076106130e+00 1.703948453235505298e-02 1.499999999999999869e-04
3.790739921592829464e+00 1.686671974610568295e-02 1.499999999999999869e-04
3.985136840648872081e+00 1.661904091570545403e-02 1.499999999999999869e-04
4.189502832477019822e+00 1.729372804224157609e-02 1.499999999999999869e-04
4.404349131578405796e+00 1.679503510006963990e-02 1.499999999999999869e-04
4.630213189608067381e+00 1.707132564268571198e-02 1.499999999999999869e-04
4.867660019844378461e+00 1.715436165743364563e-02 1.499999999999999869e-04
5.117283610605628752e+00 1.752402669521199025e-02 1.499999999999999869e-04
5.379708411149507263e+00 1.764216117309257148e-02 1.499999999999999869e-04
5.655590893772558303e+00 1.747351630365764213e-02 1.499999999999999869e-04
5.945621196017304655e+00 1.744305460471069769e-02 1.499999999999999869e-04
6.250524847095114467e+00 1.713883362879134800e-02 1.499999999999999869e-04
6.571064582843582080e+00 1.732127729458811036e-02 1.499999999999999869e-04
6.908042253758637230e+00 1.766323422546499725e-02 1.499999999999999869e-04
7.262300830874464097e+00 1.764114478415534232e-02 1.499999999999999869e-04
7.634726514509051043e+00 1.777190570334186148e-02 1.499999999999999869e-04
8.026250951150540658e+00 1.779045468563678414e-02 1.499999999999999869e-04
